Frame,EAR,Pitch,Yaw,Status
128,0.208,-55903.9,11493.1,DISTRACTED
129,0.229,-54887.97,11655.05,DISTRACTED
130,0.216,-54325.58,11002.16,DISTRACTED
131,0.175,-54064.95,11832.06,DISTRACTED
132,0.204,-53534.29,11801.98,DISTRACTED
133,0.209,-53354.89,11717.37,DISTRACTED
134,0.213,-53704.84,11714.26,DISTRACTED
135,0.219,-53673.37,11831.0,DISTRACTED
136,0.217,-53792.52,11818.32,DISTRACTED
137,0.201,-53764.83,11814.47,DISTRACTED
138,0.192,-53962.29,12027.39,DISTRACTED
139,0.149,-53666.54,11587.82,DISTRACTED
140,0.123,-53607.89,10843.24,DISTRACTED
141,0.158,-53724.9,10488.18,DISTRACTED
142,0.185,-53594.58,10642.06,DISTRACTED
143,0.197,-53599.79,10767.39,DISTRACTED
144,0.211,-53790.81,10836.48,DISTRACTED
145,0.228,-53728.25,10391.98,DISTRACTED
146,0.226,-53635.5,10421.87,DISTRACTED
147,0.234,-53882.55,9736.96,DISTRACTED
148,0.195,-53606.27,10321.55,DISTRACTED
149,0.165,-53359.96,8991.54,DISTRACTED
150,0.174,-53449.29,9151.65,DISTRACTED
151,0.198,-53559.51,9496.63,DISTRACTED
152,0.203,-53287.53,9424.63,DISTRACTED
153,0.192,-53330.06,9575.7,DISTRACTED
154,0.219,-53555.16,9528.65,DISTRACTED
155,0.221,-53789.0,9494.63,DISTRACTED
156,0.208,-53853.4,9389.83,DISTRACTED
157,0.213,-53915.0,9641.28,DISTRACTED
158,0.214,-53819.56,9492.12,DISTRACTED
159,0.219,-53799.94,9589.28,DISTRACTED
160,0.217,-53739.46,9646.99,DISTRACTED
161,0.221,-53786.63,9604.96,DISTRACTED
162,0.219,-53835.95,9642.11,DISTRACTED
163,0.212,-53842.21,9743.88,DISTRACTED
164,0.166,-53755.89,9889.59,DISTRACTED
165,0.183,-53796.15,10023.59,DISTRACTED
166,0.271,-63179.39,3170.32,DISTRACTED
167,0.272,-63058.32,2903.01,DISTRACTED
168,0.28,-62819.67,2611.42,DISTRACTED
169,0.287,-62737.3,2673.1,DISTRACTED
170,0.29,-62607.68,2857.13,DISTRACTED
171,0.293,-62454.16,2536.88,DISTRACTED
172,0.29,-62531.31,2799.27,DISTRACTED
173,0.253,-62199.13,2630.76,DISTRACTED
174,0.247,-62125.45,2160.12,DISTRACTED
175,0.257,-62147.42,2208.78,DISTRACTED
176,0.253,-53169.95,9945.71,DISTRACTED
177,0.239,-53259.77,9999.91,DISTRACTED
178,0.242,-53319.84,9751.98,DISTRACTED
179,0.233,-53342.45,9778.89,DISTRACTED
180,0.236,-53452.83,9663.69,DISTRACTED
181,0.22,-53462.22,9475.54,DISTRACTED
182,0.218,-53423.24,9671.05,DISTRACTED
183,0.218,-53455.27,9476.36,DISTRACTED
184,0.216,-53394.28,9632.0,DISTRACTED
185,0.214,-53326.48,9490.31,DISTRACTED
186,0.216,-53215.08,9380.23,DISTRACTED
187,0.217,-53302.97,9335.2,DISTRACTED
188,0.207,-53440.99,9565.29,DISTRACTED
189,0.207,-53492.77,9641.71,DISTRACTED
190,0.207,-53464.72,9680.24,DISTRACTED
191,0.193,-53514.41,9574.43,DISTRACTED
192,0.185,-53542.87,9312.2,DISTRACTED
193,0.173,-53469.6,9050.3,DISTRACTED
194,0.165,-53506.68,8823.85,DISTRACTED
195,0.165,-53590.6,8684.4,DISTRACTED
196,0.166,-53534.36,8556.34,DISTRACTED
197,0.167,-53313.37,8539.75,DISTRACTED
198,0.176,-53431.84,8484.19,DISTRACTED
199,0.166,-53353.15,8519.85,DISTRACTED
200,0.176,-53359.99,8426.37,DISTRACTED
201,0.158,-53267.89,8707.81,DISTRACTED
202,0.168,-53261.05,8768.37,DISTRACTED
203,0.171,-53449.33,9007.14,DISTRACTED
204,0.182,-53073.19,8397.44,DISTRACTED
205,0.193,-53112.4,8208.15,DISTRACTED
206,0.163,-53145.0,6246.95,DISTRACTED
207,0.17,-53478.05,2099.0,DISTRACTED
208,0.186,-54394.06,-1230.22,DISTRACTED
209,0.159,-54347.06,-2950.87,DISTRACTED
210,0.163,-54034.94,-3958.26,DISTRACTED
211,0.197,-53371.98,-4513.25,DISTRACTED
212,0.24,-53508.06,-5079.39,DISTRACTED
213,0.256,-53253.44,-4585.8,DISTRACTED
214,0.26,-53426.75,-4868.56,DISTRACTED
215,0.248,-53909.45,-5027.82,DISTRACTED
216,0.25,-53169.74,-4855.35,DISTRACTED
217,0.239,-52986.61,-4377.18,DISTRACTED
218,0.218,-52650.86,-3788.33,DISTRACTED
219,0.226,-52748.8,-2778.83,DISTRACTED
220,0.197,-61662.94,-10221.76,DISTRACTED
221,0.179,-53722.38,-1396.81,DISTRACTED
222,0.172,-53321.19,415.32,DISTRACTED
223,0.178,-52944.54,1831.0,DISTRACTED
224,0.162,-53151.85,6018.37,DISTRACTED
225,0.16,-52695.32,8810.25,DISTRACTED
226,0.165,-52551.27,9395.39,DISTRACTED
227,0.156,-52326.29,10281.85,DISTRACTED
228,0.164,-52797.07,10672.3,DISTRACTED
229,0.177,-61766.01,3753.31,DISTRACTED
230,0.15,-61676.05,3882.48,DISTRACTED
231,0.17,-61930.46,4353.51,DISTRACTED
232,0.167,-53033.38,11958.86,DISTRACTED
233,0.162,-53303.58,11735.74,DISTRACTED
234,0.165,-54086.4,10934.13,DISTRACTED
235,0.146,-53701.04,10208.81,DISTRACTED
236,0.14,-62614.04,1936.9,DISTRACTED
237,0.141,-62013.63,2227.94,DISTRACTED
238,0.151,-62506.47,2168.48,DISTRACTED
239,0.138,-62402.98,1706.43,DISTRACTED
240,0.151,-61923.13,1466.58,DISTRACTED
241,0.147,-62093.97,1664.29,DISTRACTED
242,0.147,-61701.06,1632.85,DISTRACTED
243,0.141,-61779.43,1302.67,DISTRACTED
244,0.144,-61735.81,1667.0,DISTRACTED
245,0.137,-61645.67,1497.25,DISTRACTED
246,0.145,-62099.53,2011.13,DISTRACTED
247,0.133,-53344.58,10082.61,DISTRACTED
248,0.172,-53168.92,10570.48,DISTRACTED
249,0.164,-63375.3,3425.18,DISTRACTED
250,0.162,-64087.99,3817.19,DISTRACTED
251,0.128,-54143.42,11222.58,DISTRACTED
252,0.139,-53857.72,11205.1,DISTRACTED
253,0.129,-53671.15,11375.77,DISTRACTED
254,0.119,-53921.65,11013.61,DISTRACTED
255,0.13,-53710.33,11037.75,DISTRACTED
256,0.14,-53654.78,10743.25,DISTRACTED
257,0.174,-53654.27,10736.88,DISTRACTED
