frame_number,avg_ear,pitch,yaw,status,face_detected
136,0.2168,12.89,21.61,DROWSY,True
137,0.2012,12.97,21.57,DROWSY,True
138,0.1921,12.3,22.16,DROWSY,True
139,0.1491,13.38,20.73,DROWSY,True
140,0.1226,14.15,18.4,DROWSY,True
141,0.1576,14.19,17.02,DROWSY,True
142,0.1855,14.49,17.3,DROWSY,True
143,0.1973,14.59,17.37,DROWSY,True
144,0.2114,14.15,17.46,DROWSY,True
145,0.2276,14.69,15.81,ALERTT,True
146,0.226,14.96,15.89,ALERTT,True
147,0.2344,14.98,13.53,ALERTT,True
148,0.1948,15.5,15.17,DROWSY,True
149,0.1653,17.29,11.04,DROWSY,True
150,0.1744,16.77,11.56,DROWSY,True
151,0.1981,16.22,12.72,DROWSY,True
152,0.203,17.01,12.55,DROWSY,True
153,0.1925,16.87,12.93,DROWSY,True
154,0.2195,16.25,12.83,DROWSY,True
155,0.2206,15.74,12.57,DISTRACTED,True
156,0.2083,15.58,12.38,DROWSY,True
157,0.2127,15.2,13.11,DROWSY,True
158,0.2144,15.58,12.66,DROWSY,True
159,0.2189,15.56,12.91,DROWSY,True
160,0.2166,15.65,13.17,DROWSY,True
161,0.2213,15.53,13.01,DISTRACTED,True
162,0.2189,15.36,13.18,DROWSY,True
163,0.212,15.25,13.58,DROWSY,True
164,0.166,15.38,14.14,DROWSY,True
165,0.1833,15.24,14.4,DROWSY,True
166,0.2714,16.62,17.46,DISTRACTED,True
167,0.2716,17.04,16.51,DISTRACTED,True
168,0.2802,17.8,15.44,DISTRACTED,True
169,0.2875,18.07,15.58,DISTRACTED,True
170,0.2904,18.46,16.01,DISTRACTED,True
171,0.2928,18.95,14.9,DISTRACTED,True
172,0.2899,18.69,15.71,DISTRACTED,True
173,0.2528,19.8,15.07,DISTRACTED,True
174,0.2469,20.15,13.37,DISTRACTED,True
175,0.257,20.04,13.69,DISTRACTED,True
176,0.2527,16.98,13.85,DISTRACTED,True
177,0.239,16.67,14.19,DISTRACTED,True
178,0.2423,16.62,13.42,DISTRACTED,True
179,0.2333,16.52,13.55,DISTRACTED,True
180,0.2363,16.31,13.1,DISTRACTED,True
181,0.2201,16.44,12.46,DISTRACTED,True
182,0.2182,16.36,13.22,DROWSY,True
183,0.2181,16.39,12.59,DROWSY,True
184,0.2159,16.48,13.06,DROWSY,True
185,0.2145,16.81,12.55,DROWSY,True
186,0.2163,17.18,12.2,DROWSY,True
187,0.2171,16.97,12.12,DROWSY,True
188,0.2075,16.4,12.85,DROWSY,True
189,0.207,16.24,12.94,DROWSY,True
190,0.2066,16.3,13.16,DROWSY,True
191,0.1931,16.22,12.96,DROWSY,True
192,0.1853,16.23,12.17,DROWSY,True
193,0.1735,16.65,11.34,DROWSY,True
194,0.1652,16.66,10.73,DROWSY,True
195,0.1647,16.54,10.15,DROWSY,True
196,0.1661,16.75,9.83,DROWSY,True
197,0.1668,17.32,9.77,DROWSY,True
198,0.1757,17.12,9.54,DROWSY,True
199,0.1658,17.23,9.77,DROWSY,True
200,0.1756,17.32,9.42,DROWSY,True
201,0.1583,17.36,10.22,DROWSY,True
202,0.168,17.39,10.38,DROWSY,True
203,0.1711,16.77,11.01,DROWSY,True
204,0.1822,18.01,9.29,DROWSY,True
205,0.1932,17.75,9.04,DROWSY,True
206,0.1631,18.71,3.1,DROWSY,True
207,0.1696,19.4,-7.15,DROWSY,True
208,0.1856,17.46,-14.23,DROWSY,True
209,0.1593,17.86,-18.27,DROWSY,True
210,0.1632,18.99,-21.18,DROWSY,True
211,0.1975,20.73,-23.0,DROWSY,True
212,0.2402,20.34,-24.52,DISTRACTED,True
213,0.2565,21.28,-23.33,DISTRACTED,True
214,0.2601,20.91,-24.17,DISTRACTED,True
215,0.2485,19.65,-24.38,DISTRACTED,True
216,0.2499,21.59,-24.15,DISTRACTED,True
217,0.2385,22.15,-22.91,DISTRACTED,True
218,0.2184,23.21,-21.41,DROWSY,True
219,0.2261,22.74,-18.59,DISTRACTED,True
220,0.197,26.77,-18.99,DROWSY,True
221,0.1794,19.58,-14.69,DROWSY,True
222,0.1716,20.4,-10.33,DROWSY,True
223,0.1778,20.83,-7.3,DROWSY,True
224,0.1623,18.49,2.92,DROWSY,True
225,0.1604,18.44,11.4,DROWSY,True
